song4,Canon in D,unknow,ORCHESTA,D:\Personal project\MyMusicBox\src\imgorchesta\640x640.jpg,https://www.youtube.com/embed/NlprozGcs80,admin
orche1,Summer,Joe Hisaishi,ORCHESTA,D:\Personal project\MyMusicBox\src\imgorchesta\maxresdefault.jpg,https://www.youtube.com/embed/WDH_nJM3djc,trang
orch1,The name of Life,unknow,ORCHESTA,D:\Personal project\MyMusicBox\src\imgorchesta\spirited-away-feat-500x329.jpg,https://www.youtube.com/embed/ImPM5IDIYPs,trang
pop,Stay alive,jose gonzalez,POP,D:\Personal project\MyMusicBox\src\imgpop\f1947a95af3e0153fecadbc0dd679b54.500x500x1.jpg,https://www.youtube.com/embed/bvjNyJ8TBNk,trang
pop2,step out ,José González,POP,D:\Personal project\MyMusicBox\src\imgpop\f1947a95af3e0153fecadbc0dd679b54.500x500x1.jpg,https://www.youtube.com/embed/BXHXvUB4oCU,trang
rock1,Mr blue sky,Electric Light Orchestra,ROCK,D:\Personal project\MyMusicBox\src\imgrock\220px-Electric_Light_Orchestra_-_Mr._Blue_Sky._The_Very_Best_of_Electric_Light_Orchestra.jpg,https://www.youtube.com/embed/aQUlA8Hcv4s,trang
pop3,Blowin in the Wind,Bob Dylan,COUNTRY,D:\Personal project\MyMusicBox\src\imgcountry\bob.jpg,https://www.youtube.com/embed/G58XWF6B3AA,trang
country,Moon River,Audrey Hepburn,COUNTRY,D:\Personal project\MyMusicBox\src\imgclassical\portrait-of-audrey-hepburn.jpg,https://www.youtube.com/embed/QEdPe1SxitI,trang
pop5,I'm all out of love,Air Supply,POP,D:\Personal project\MyMusicBox\src\imgpop\600x600bf.png,https://www.youtube.com/embed/v788A3-sPz0,trang
pop9,Making Love Out Of Nothing At All,Air Supply,POP,D:\Personal project\MyMusicBox\src\imgpop\600x600bf.png,https://www.youtube.com/embed/ogoIxkPjRts=,trang
rock4,Crazy,Aerosmith,ROCK,D:\Personal project\MyMusicBox\src\imgrock\81oNMaoeHYL._SL1500_.jpg,https://www.youtube.com/embed/NMNgbISmF4I,trang
sonf5,let it be,The Beatles,CLASSICAL,D:\Personal project\MyMusicBox\src\imgclassical\letitbe.jpg,https://www.youtube.com/embed/ra3rF4b6O3E,trang
song9,Moon River,Audrey Hepburn ,CLASSICAL,D:\Personal project\MyMusicBox\src\imgclassical\portrait-of-audrey-hepburn.jpg,https://www.youtube.com/embed/QEdPe1SxitI,trang
